program_name,youth_activity_rc,total_seconds,total_minutes,total_hours,total_minutes_p
Boston - Mathpower,Not Focused,873.2,14.553333333333335,0.24255555555555558,0.20198468691448268
Boston - Thompson Island,Not Focused,1075.7,17.928333333333335,0.2988055555555556,0.3051458073300806
Boston - Sociedad Latina,Not Focused,2797.4,46.623333333333335,0.7770555555555556,0.37224713569042833
Providence - Down City Design,Not Focused,1561.9,26.03166666666667,0.43386111111111114,0.42288947852926845
Providence - Crazy Machines,Not Focused,1780,29.666666666666668,0.49444444444444446,0.4255420880250544
Boston - Dorchester House,Not Focused,1247.3,20.788333333333334,0.34647222222222224,0.45759043216670336
Providence - Explore the Bay,Not Focused,2741.3,45.68833333333334,0.7614722222222223,0.5244299051117234
Providence -  RWP Zoo,Not Focused,2008.3,33.471666666666664,0.557861111111111,0.567172187861843
Providence - Biomes,Not Focused,1829.2,30.486666666666668,0.5081111111111112,0.5921657494334737
Providence - Down City Design,Basic Skills Activity,474.4,7.906666666666666,0.13177777777777777,0.1284453349217523
Providence - Biomes,Basic Skills Activity,484.9,8.081666666666667,0.13469444444444445,0.15697636775655552
Providence -  RWP Zoo,Basic Skills Activity,576.6,9.610000000000001,0.16016666666666668,0.16283995594340422
Providence - Explore the Bay,Basic Skills Activity,856.6,14.276666666666667,0.23794444444444446,0.1638735843281298
Providence - Crazy Machines,Basic Skills Activity,736.3,12.271666666666667,0.20452777777777778,0.17602620191733007
Boston - Thompson Island,Basic Skills Activity,646.4,10.773333333333333,0.17955555555555555,0.183365482809486
Boston - Sociedad Latina,Basic Skills Activity,1861.9,31.03166666666667,0.5171944444444445,0.24776111458568978
Boston - Dorchester House,Basic Skills Activity,676.1,11.268333333333334,0.1878055555555556,0.2480372734610023
Boston - Mathpower,Basic Skills Activity,2015.4,33.59,0.5598333333333334,0.46619324096134723
Providence - Down City Design,Program Staff Led,94.5,1.575,0.02625,0.02558618075486002
Providence - Crazy Machines,Program Staff Led,167.6,2.7933333333333334,0.04655555555555556,0.04006789547921299
Providence - Explore the Bay,Program Staff Led,375,6.25,0.10416666666666667,0.07174012855831037
Boston - Dorchester House,Program Staff Led,280.40000000000003,4.673333333333334,0.0778888888888889,0.1028688825298995
Providence - Biomes,Program Staff Led,325.9,5.431666666666667,0.09052777777777778,0.10550339915830366
Boston - Sociedad Latina,Program Staff Led,836.6,13.943333333333333,0.2323888888888889,0.11132550000665345
Providence -  RWP Zoo,Program Staff Led,438.09999999999997,7.301666666666666,0.12169444444444442,0.12372560648422716
Boston - Thompson Island,Program Staff Led,716.4,11.94,0.19899999999999998,0.20322251219788948
Boston - Mathpower,Program Staff Led,1369.6,22.826666666666664,0.3804444444444444,0.316809696745391
Providence -  RWP Zoo,Field Trip Speaker,47,0.7833333333333333,0.013055555555555555,0.013273461549323618
Providence - Explore the Bay,Field Trip Speaker,237.9,3.9650000000000003,0.06608333333333334,0.04551193755739211
Boston - Thompson Island,Field Trip Speaker,310.9,5.181666666666667,0.08636111111111111,0.0881935776693521
Providence - Crazy Machines,Field Trip Speaker,523.1,8.718333333333334,0.14530555555555555,0.12505677878983482
Boston - Sociedad Latina,Lab Activity,42.199999999999996,0.7033333333333333,0.01172222222222222,0.00561551051910205
Providence - Explore the Bay,Lab Activity,35.8,0.5966666666666666,0.009944444444444443,0.006848790939700029
Providence -  RWP Zoo,Lab Activity,73.5,1.225,0.02041666666666667,0.020757434550538
Boston - Thompson Island,Lab Activity,169.3,2.8216666666666668,0.04702777777777778,0.04802564393509588
Boston - Dorchester House,Lab Activity,205.4,3.4233333333333333,0.057055555555555554,0.07535402450656688
Providence - Biomes,Lab Activity,244.1,4.068333333333333,0.06780555555555555,0.07902233732599546
Boston - Mathpower,Creating Product,64.89999999999999,1.0816666666666666,0.018027777777777775,0.015012375378779115
Providence - Biomes,Creating Product,204.9,3.415,0.056916666666666664,0.06633214632567173
Providence -  RWP Zoo,Creating Product,397.40000000000003,6.623333333333334,0.1103888888888889,0.11223135361066397
Boston - Dorchester House,Creating Product,316.59999999999997,5.276666666666666,0.08794444444444444,0.11614938733582801
Boston - Thompson Island,Creating Product,606.5,10.108333333333333,0.16847222222222222,0.172046976058096
Providence - Explore the Bay,Creating Product,980.6,16.343333333333334,0.2723888888888889,0.18759565350474441
Providence - Crazy Machines,Creating Product,975.9,16.265,0.27108333333333334,0.23330703578856773
Boston - Sociedad Latina,Creating Product,1976.8,32.946666666666665,0.5491111111111111,0.2630507391981264
Providence - Down City Design,Creating Product,1562.6,26.043333333333333,0.43405555555555553,0.4230790057941192
