program_name,who_working_with,total_seconds,total_minutes,total_hours,total_minutes_p
Providence -  RWP Zoo,Small Group,457.6,7.626666666666667,0.12711111111111112,0.10288926363125352
Boston - Mathpower,Small Group,793.1,13.218333333333334,0.22030555555555556,0.16580949991637398
Providence - Crazy Machines,Small Group,916.5,15.275,0.25458333333333333,0.1787839182256208
Providence - Explore the Bay,Small Group,1054.9,17.581666666666667,0.2930277777777778,0.17882995134686128
Providence - Biomes,Small Group,775.1,12.918333333333333,0.21530555555555556,0.19849419959538017
Boston - Thompson Island,Small Group,806.4,13.44,0.224,0.19926363389260915
Boston - Sociedad Latina,Small Group,2147.3,35.788333333333334,0.5964722222222222,0.25167604313173936
Boston - Dorchester House,Small Group,830,13.833333333333334,0.23055555555555557,0.2517134712197489
Providence - Down City Design,Small Group,1636.7,27.278333333333332,0.45463888888888887,0.3669155065348488
Boston - Dorchester House,Whole Group,1423.9,23.73166666666667,0.3955277777777778,0.4318250743009644
Providence - Down City Design,Whole Group,2004.3,33.405,0.55675,0.44932409711480265
Boston - Thompson Island,Whole Group,1905.6,31.759999999999998,0.5293333333333333,0.47087894437717753
Boston - Mathpower,Whole Group,2430.4,40.50666666666667,0.6751111111111111,0.5081117243686235
Providence - Crazy Machines,Whole Group,2853.4,47.556666666666665,0.792611111111111,0.5566197842498488
Boston - Sociedad Latina,Whole Group,4872.3,81.205,1.3534166666666667,0.5710618846694796
Providence - Biomes,Whole Group,2471.6,41.193333333333335,0.6865555555555556,0.6329483469487055
Providence - Explore the Bay,Whole Group,3997.2,66.61999999999999,1.1103333333333332,0.6776178609571275
Providence -  RWP Zoo,Whole Group,3044.6,50.74333333333333,0.8457222222222222,0.6845643620011242
Providence - Explore the Bay,Working Individually,846.8,14.113333333333333,0.23522222222222222,0.14355218769601114
Providence - Biomes,Working Individually,658.2,10.97,0.18283333333333335,0.16855745345591439
Boston - Sociedad Latina,Working Individually,1512.4,25.206666666666667,0.4201111111111111,0.17726207219878107
Providence - Down City Design,Working Individually,819.7,13.661666666666667,0.22769444444444445,0.1837603963503486
Providence -  RWP Zoo,Working Individually,945.3,15.754999999999999,0.26258333333333334,0.21254637436762225
Providence - Crazy Machines,Working Individually,1356.4,22.60666666666667,0.3767777777777778,0.2645962975245304
Boston - Dorchester House,Working Individually,1043.5,17.391666666666666,0.28986111111111107,0.3164614544792867
Boston - Mathpower,Working Individually,1559.7,25.995,0.43325,0.32607877571500254
Boston - Thompson Island,Working Individually,1334.9,22.248333333333335,0.37080555555555555,0.32985742173021326
